ID,Type,Locale,Title,Slug,Description,Body,SEO Title,SEO Description,Featured Image,Featured Image Alt,CTA Blocks,OG Metadata,Additional Data
H8rzDM7imABUnWcWNGpGTq,page,ru,"Аналитика, дашборды и автоматизация для бизнеса",home,"Помогаю малому и среднему бизнесу видеть данные, принимать решения и экономить время на аналитике.","Помогаю малому и среднему бизнесу видеть данные, принимать решения и экономить время на аналитике.",,,,,,,
H8rzDM7imABUnWcWNGpGhH,page,ua,"Аналітика, дашборди та автоматизація для бізнесу",home,"Допомагаю малому та середньому бізнесу бачити дані, ухвалювати рішення та економити час на аналітиці.","Допомагаю малому та середньому бізнесу бачити дані, ухвалювати рішення та економити час на аналітиці.",,,,,,,
H8rzDM7imABUnWcWNGpMOR,page,ru,Политика конфиденциальности,privacy,Политика обработки персональных данных,Содержимое политики конфиденциальности будет добавлено позже.,,,,,,,
H8rzDM7imABUnWcWNGpMW7,page,ua,Контакти,contact,Зв'яжіться зі мною для обговорення вашої задачі,Форма зворотного зв'язку,,,,,,,
H8rzDM7imABUnWcWNGpMjY,page,ru,Кейсы,cases,Примеры работы и результаты,Реальные кейсы появятся здесь в ближайшее время.,,,,,,,
H8rzDM7imABUnWcWNGpMrE,page,ro,Cazuri,cases,Exemple de lucru și rezultate,Cazuri reale vor apărea aici în curând.,,,,,,,
UhtN6rPJaY2J3E22gNb0sY,page,ro,Politica de confidențialitate,privacy,Politica de prelucrare a datelor personale,Conținutul politicii de confidențialitate va fi adăugat mai târziu.,,,,,,,
UhtN6rPJaY2J3E22gNb16g,page,ru,Контакты,contact,Свяжитесь со мной для обсуждения вашей задачи,Форма обратной связи,,,,,,,
UhtN6rPJaY2J3E22gNb1Ko,page,ro,Contact,contact,Contactează-mă pentru a discuta sarcina ta,Formular de contact,,,,,,,
UhtN6rPJaY2J3E22gNb1UE,page,ua,Кейси,cases,Приклади роботи та результати,Реальні кейси з'являться тут найближчим часом.,,,,,,,
jtz4hoaXAenMcB4qySFus8,page,ro,"Analytics, dashboard-uri și automatizare pentru business",home,"Ajut business-urile mici și medii să vadă datele, să ia decizii și să economisească timp pe analytics.","Ajut business-urile mici și medii să vadă datele, să ia decizii și să economisească timp pe analytics.",,,,,,,
jtz4hoaXAenMcB4qySG1Pr,page,ua,Політика конфіденційності,privacy,Політика обробки персональних даних,Вміст політики конфіденційності буде додано пізніше.,,,,,,,
H8rzDM7imABUnWcWNGpH0T,service,ru,Part-time аналитик,parttime,Работаю как ваш аналитик на проектной основе или несколько часов в неделю.,,,,,,,,"{""icon"":""📊"",""order"":5,""featured"":false}"
H8rzDM7imABUnWcWNGpH89,service,ua,Аналітичний аудит,audit,"Розбираю поточну аналітику, рекламу та дані. Показую, де втрачаєте гроші і що можна покращити.",,,,,,,,"{""icon"":""📊"",""order"":1,""featured"":false}"
H8rzDM7imABUnWcWNGpHFp,service,ua,Консалтинг і навчання,consulting,"Допомагаю розібратися в аналітиці, налаштувати процеси або навчити команду роботі з даними.",,,,,,,,"{""icon"":""📊"",""order"":4,""featured"":false}"
H8rzDM7imABUnWcWNGpHTG,service,ua,Part-time аналітик,parttime,Працюю як ваш аналітик на проєктній основі або кілька годин на тиждень.,,,,,,,,"{""icon"":""📊"",""order"":5,""featured"":false}"
H8rzDM7imABUnWcWNGpHaw,service,ro,OmniDash — analytics gata pentru e-commerce,omnidash,"Reclama, vânzările și cheltuielile într-un singur dashboard. Vezi nu doar venitul, ci și profitul real.",,,,,,,,"{""icon"":""📊"",""order"":0,""featured"":true}"
H8rzDM7imABUnWcWNGpHoN,service,ro,Audit analitic,audit,"Analizez analytics-ul, reclama și datele curente. Arăt unde pierzi bani și ce poate fi îmbunătățit.",,,,,,,,"{""icon"":""📊"",""order"":1,""featured"":false}"
H8rzDM7imABUnWcWNGpI3j,service,ro,Automatizarea rapoartelor,automation,"Te scap de munca manuală: rapoarte automate în Telegram, PDF, Google Sheets sau Email.",,,,,,,,"{""icon"":""📊"",""order"":2,""featured"":false}"
UhtN6rPJaY2J3E22gNau0K,service,ru,Аналитический аудит,audit,"Разбираю текущую аналитику, рекламу и данные. Показываю, где теряете деньги и что можно улучшить.",,,,,,,,"{""icon"":""📊"",""order"":1,""featured"":false}"
UhtN6rPJaY2J3E22gNau9k,service,ru,Автоматизация отчётов,automation,"Избавляю от ручной работы: автоматические отчёты в Telegram, PDF, Google Sheets или Email.",,,,,,,,"{""icon"":""📊"",""order"":2,""featured"":false}"
UhtN6rPJaY2J3E22gNaueM,service,ua,OmniDash — готова аналітика для e-commerce,omnidash,"Реклама, продажі та витрати в одному дашборді. Бачите не лише виручку, а й реальний прибуток.",,,,,,,,"{""icon"":""📊"",""order"":0,""featured"":true}"
UhtN6rPJaY2J3E22gNauuq,service,ua,Автоматизація звітів,automation,"Позбавляю від ручної роботи: автоматичні звіти в Telegram, PDF, Google Sheets або Email.",,,,,,,,"{""icon"":""📊"",""order"":2,""featured"":false}"
UhtN6rPJaY2J3E22gNav4G,service,ua,Дашборди на замовлення,dashboards,"Збираю кастомні дашборди під вашу бізнес-модель: Power BI, Looker Studio, Tableau.",,,,,,,,"{""icon"":""📊"",""order"":3,""featured"":false}"
UhtN6rPJaY2J3E22gNavfw,service,ro,Dashboard-uri personalizate,dashboards,"Construiesc dashboard-uri custom pentru modelul tău de business: Power BI, Looker Studio, Tableau.",,,,,,,,"{""icon"":""📊"",""order"":3,""featured"":false}"
UhtN6rPJaY2J3E22gNaw3U,service,ro,Consultanță și training,consulting,"Te ajut să înțelegi analytics-ul, să configurezi procesele sau să instruiești echipa în lucrul cu datele.",,,,,,,,"{""icon"":""📊"",""order"":4,""featured"":false}"
UhtN6rPJaY2J3E22gNawCu,service,ro,Analist part-time,parttime,Lucrez ca analistul tău pe bază de proiect sau câteva ore pe săptămână.,,,,,,,,"{""icon"":""📊"",""order"":5,""featured"":false}"
jtz4hoaXAenMcB4qySFv0S,service,ru,OmniDash — готовая аналитика для e-commerce,omnidash,"Реклама, продажи и расходы в одном дашборде. Видите не только выручку, но и реальную прибыль.",,,,,,,,"{""icon"":""📊"",""order"":0,""featured"":true}"
jtz4hoaXAenMcB4qySFv8m,service,ru,Дашборды на заказ,dashboards,"Собираю кастомные дашборды под вашу бизнес-модель: Power BI, Looker Studio, Tableau.",,,,,,,,"{""icon"":""📊"",""order"":3,""featured"":false}"
jtz4hoaXAenMcB4qySFvH6,service,ru,Консалтинг и обучение,consulting,"Помогаю разобраться в аналитике, настроить процессы или обучить команду работе с данными.",,,,,,,,"{""icon"":""📊"",""order"":4,""featured"":false}"
fff123b0-2b40-4f45-8350-76f15a5d8475,blogPost,ru,111,blog11,test,12345,test-blog,test-blog,,,,"{""image"":null,""type"":""article"",""publishedTime"":""2026-03-29T19:11:00.000Z""}","{""tags"":[""blog-tag""],""author"":""Pavlo Mytsyk"",""publishedAt"":""2026-03-29T19:11:00.000Z""}"
H8rzDM7imABUnWcWNGpKZC,faq,ru,Безопасно ли давать доступы?,,"Да. Мы запрашиваем доступы по принципу минимально необходимого и, где возможно, работаем в режиме чтения. Заранее согласовываем, какие именно доступы нужны.",,,,,,,,"{""category"":""omnidash"",""order"":0}"
H8rzDM7imABUnWcWNGpKgs,faq,ru,Что я получаю: просто дашборд или ещё и настройку?,,"Настроенную систему: подключение источников, логику расчёта показателей, дашборд и передачу в работу. Не просто красивый отчёт.",,,,,,,,"{""category"":""omnidash"",""order"":2}"
H8rzDM7imABUnWcWNGpKoY,faq,ru,Сколько времени занимает запуск?,,Обычно от нескольких дней до 1–2 недель — в зависимости от количества источников и качества исходных данных.,,,,,,,,"{""category"":""omnidash"",""order"":4}"
H8rzDM7imABUnWcWNGpKwE,faq,ru,"Если у меня нет CRM или идеального учёта расходов, можно стартовать?",,Да. Начинаем с упрощённой модели и постепенно улучшаем точность по мере подключения новых данных.,,,,,,,,"{""category"":""omnidash"",""order"":5}"
H8rzDM7imABUnWcWNGpL9f,faq,ua,У мене невеликий магазин. Це для мене?,,"Так. Для малого e-commerce OmniDash особливо корисний: коли рекламний бюджет обмежений, помилка в аналітиці коштує дорожче.",,,,,,,,"{""category"":""omnidash"",""order"":1}"
H8rzDM7imABUnWcWNGpLSr,faq,ua,Кому належать дані та дашборд?,,Дані клієнта залишаються даними клієнта. Формат доступу і володіння визначається обраним пакетом роботи.,,,,,,,,"{""category"":""omnidash"",""order"":7}"
H8rzDM7imABUnWcWNGpLaX,faq,ro,Am un magazin mic. Este potrivit și pentru mine?,,"Da. Tocmai pentru e-commerce-ul mic OmniDash este foarte util: când bugetul de reclamă este limitat, o greșeală în analytics costă mai mult.",,,,,,,,"{""category"":""omnidash"",""order"":1}"
H8rzDM7imABUnWcWNGpM3K,faq,ro,Ce aveți nevoie de la mine la început?,,"Un brief scurt, acces la sistemele necesare și informații despre modelul de costuri: costul produsului, livrare, comisioane.",,,,,,,,"{""category"":""omnidash"",""order"":6}"
H8rzDM7imABUnWcWNGpMGl,faq,ro,Cui aparțin datele și dashboard-ul?,,Datele clientului rămân ale clientului. Formatul de acces și ownership se definește în funcție de pachetul ales.,,,,,,,,"{""category"":""omnidash"",""order"":7}"
UhtN6rPJaY2J3E22gNazAa,faq,ru,Что нужно от меня на старте?,,"Короткий бриф, доступы к нужным системам и информация о модели расходов: себестоимость, доставка, комиссии.",,,,,,,,"{""category"":""omnidash"",""order"":6}"
UhtN6rPJaY2J3E22gNazY8,faq,ua,Чим це краще за вбудовану аналітику в Shopify / Meta Ads?,,Вбудовані кабінети показують лише свою частину. OmniDash дає цілісну картину: реклама + продажі + витрати + чистий результат.,,,,,,,,"{""category"":""omnidash"",""order"":3}"
UhtN6rPJaY2J3E22gNazhY,faq,ua,Скільки часу займає запуск?,,Зазвичай від кількох днів до 1–2 тижнів — залежно від кількості джерел і якості вихідних даних.,,,,,,,,"{""category"":""omnidash"",""order"":4}"
UhtN6rPJaY2J3E22gNazvg,faq,ro,Ce primesc: doar un dashboard sau și configurarea?,,"Un sistem configurat: conectarea surselor, logica indicatorilor, dashboard-ul și transferul în lucru. Nu doar un raport frumos.",,,,,,,,"{""category"":""omnidash"",""order"":2}"
UhtN6rPJaY2J3E22gNb09o,faq,ro,Cu ce este mai bun decât analytics-ul din Shopify / Meta Ads?,,Dashboard-urile standard arată doar partea lor. OmniDash oferă imaginea completă: reclamă + vânzări + cheltuieli + rezultat net.,,,,,,,,"{""category"":""omnidash"",""order"":3}"
c2738964-9e4c-43c7-ac5a-3d23451c43a7,faq,ru,Тестовый вопрос,,Тестовый ответ,,,,,,,,"{""category"":""general"",""order"":0}"
jtz4hoaXAenMcB4qySFz8N,faq,ru,У меня небольшой магазин. Это для меня?,,"Да. Дф. Дааа. Для малого e-commerce OmniDash особенно полезен: когда рекламный бюджет ограничен, ошибка в аналитике стоит дороже.",,,,,,,,"{""category"":""omnidash"",""order"":1}"
jtz4hoaXAenMcB4qySFzGh,faq,ru,Чем это лучше встроенной аналитики в Shopify / Meta Ads?,,Встроенные кабинеты показывают только свою часть. OmniDash даёт целостную картину: реклама + продажи + расходы + чистый результат.,,,,,,,,"{""category"":""omnidash"",""order"":3}"
jtz4hoaXAenMcB4qySFzbV,faq,ru,Кому принадлежат данные и дашборд?,,Данные клиента остаются данными клиента. Формат доступа и владения определяется выбранным пакетом работы.,,,,,,,,"{""category"":""omnidash"",""order"":7}"
jtz4hoaXAenMcB4qySFzjp,faq,ua,Чи безпечно давати вам доступи?,,"Так. Ми запитуємо доступи за принципом мінімально необхідного і, де можливо, працюємо в режимі читання. Заздалегідь погоджуємо, які саме доступи потрібні.",,,,,,,,"{""category"":""omnidash"",""order"":0}"
jtz4hoaXAenMcB4qySFzs9,faq,ua,Що я отримую: просто дашборд чи ще й налаштування?,,"Налаштовану систему: підключення джерел, логіку розрахунку показників, дашборд і передачу в роботу. Не просто гарний звіт.",,,,,,,,"{""category"":""omnidash"",""order"":2}"
jtz4hoaXAenMcB4qySG0Cx,faq,ua,"Якщо в мене немає CRM або ідеального обліку витрат, можна стартувати?",,Так. Починаємо зі спрощеної моделі й поступово покращуємо точність у міру підключення нових даних.,,,,,,,,"{""category"":""omnidash"",""order"":5}"
jtz4hoaXAenMcB4qySG0LH,faq,ua,Що потрібно від мене на старті?,,"Короткий бриф, доступи до потрібних систем і інформація про модель витрат: собівартість, доставка, комісії.",,,,,,,,"{""category"":""omnidash"",""order"":6}"
jtz4hoaXAenMcB4qySG0Zq,faq,ro,Este sigur să vă ofer acces?,,"Da. Solicităm acces după principiul minimului necesar și, acolo unde este posibil, lucrăm în regim read-only. Stabilim din start ce tip de acces este necesar.",,,,,,,,"{""category"":""omnidash"",""order"":0}"
jtz4hoaXAenMcB4qySG0ue,faq,ro,Cât durează lansarea?,,"De obicei de la câteva zile până la 1–2 săptămâni, în funcție de numărul surselor și calitatea datelor inițiale.",,,,,,,,"{""category"":""omnidash"",""order"":4}"
jtz4hoaXAenMcB4qySG19D,faq,ro,"Dacă nu am CRM sau o evidență perfectă a costurilor, putem începe?",,Da. Începem cu un model simplificat și îmbunătățim treptat precizia pe măsură ce conectăm surse noi.,,,,,,,,"{""category"":""omnidash"",""order"":5}"
H8rzDM7imABUnWcWNGpIpi,omnidashBlock,ru,pricing,,,"{""note"":""Все цены в EUR. Настройка оплачивается один раз при старте."",""plans"":[{""cta"":""Начать"",""highlighted"":false,""items"":[""Подключение рекламных источников"",""Интеграция платформы продаж"",""Сборка дашборда в Looker Studio"",""Модель чистой прибыли"",""Передача и объяснение""],""label"":""Настройка"",""note"":""Оплачивается один раз при старте"",""period"":""единоразово"",""price"":""€99""},{""cta"":""Подключиться"",""highlighted"":true,""items"":[""Поддержание работы интеграций"",""Обновление дашборда при изменениях"",""Ответы на вопросы по данным"",""Мелкие доработки по запросу""],""label"":""Подписка"",""note"":""Поддержка и актуальность системы"",""period"":""в месяц"",""price"":""€49""},{""cta"":""Узнать подробнее"",""highlighted"":false,""items"":[""Еженедельный разбор рекламных кампаний"",""Рекомендации по оптимизации"",""Анализ ROAS / ROI по каналам"",""Выявление неэффективных кампаний""],""label"":""Аудит кампаний"",""note"":""4 разбора в месяц, 1 раз в неделю"",""period"":""в месяц"",""price"":""€150""}],""subtitle"":""Прозрачная цена без скрытых платежей."",""title"":""Стоимость""}",,,,,"{""note"":""Все цены в EUR. Настройка оплачивается один раз при старте."",""plans"":[{""cta"":""Начать"",""highlighted"":false,""items"":[""Подключение рекламных источников"",""Интеграция платформы продаж"",""Сборка дашборда в Looker Studio"",""Модель чистой прибыли"",""Передача и объяснение""],""label"":""Настройка"",""note"":""Оплачивается один раз при старте"",""period"":""единоразово"",""price"":""€99""},{""cta"":""Подключиться"",""highlighted"":true,""items"":[""Поддержание работы интеграций"",""Обновление дашборда при изменениях"",""Ответы на вопросы по данным"",""Мелкие доработки по запросу""],""label"":""Подписка"",""note"":""Поддержка и актуальность системы"",""period"":""в месяц"",""price"":""€49""},{""cta"":""Узнать подробнее"",""highlighted"":false,""items"":[""Еженедельный разбор рекламных кампаний"",""Рекомендации по оптимизации"",""Анализ ROAS / ROI по каналам"",""Выявление неэффективных кампаний""],""label"":""Аудит кампаний"",""note"":""4 разбора в месяц, 1 раз в неделю"",""period"":""в месяц"",""price"":""€150""}],""subtitle"":""Прозрачная цена без скрытых платежей."",""title"":""Стоимость""}",,"{""blockType"":""pricing"",""order"":4}"
H8rzDM7imABUnWcWNGpKRW,omnidashBlock,ro,pricing,,,"{""note"":""Toate prețurile în EUR. Configurarea se plătește o singură dată la start."",""plans"":[{""cta"":""Începe"",""highlighted"":false,""items"":[""Conectarea surselor de publicitate"",""Integrarea platformei de vânzări"",""Construirea dashboard-ului în Looker Studio"",""Model de profit net"",""Predare și explicații""],""label"":""Configurare"",""note"":""Se plătește o dată la start"",""period"":""o singură dată"",""price"":""€99""},{""cta"":""Abonează-te"",""highlighted"":true,""items"":[""Menținerea integrărilor funcționale"",""Actualizarea dashboard-ului la modificări"",""Răspunsuri la întrebări despre date"",""Ajustări minore la cerere""],""label"":""Abonament"",""note"":""Suport și menținerea sistemului"",""period"":""pe lună"",""price"":""€49""},{""cta"":""Află mai multe"",""highlighted"":false,""items"":[""Analiză săptămânală a campaniilor"",""Recomandări de optimizare"",""Analiză ROAS / ROI pe canale"",""Identificarea campaniilor ineficiente""],""label"":""Audit campanii"",""note"":""4 analize pe lună, 1 pe săptămână"",""period"":""pe lună"",""price"":""€150""}],""subtitle"":""Preț transparent, fără plăți ascunse."",""title"":""Prețuri""}",,,,,"{""note"":""Toate prețurile în EUR. Configurarea se plătește o singură dată la start."",""plans"":[{""cta"":""Începe"",""highlighted"":false,""items"":[""Conectarea surselor de publicitate"",""Integrarea platformei de vânzări"",""Construirea dashboard-ului în Looker Studio"",""Model de profit net"",""Predare și explicații""],""label"":""Configurare"",""note"":""Se plătește o dată la start"",""period"":""o singură dată"",""price"":""€99""},{""cta"":""Abonează-te"",""highlighted"":true,""items"":[""Menținerea integrărilor funcționale"",""Actualizarea dashboard-ului la modificări"",""Răspunsuri la întrebări despre date"",""Ajustări minore la cerere""],""label"":""Abonament"",""note"":""Suport și menținerea sistemului"",""period"":""pe lună"",""price"":""€49""},{""cta"":""Află mai multe"",""highlighted"":false,""items"":[""Analiză săptămânală a campaniilor"",""Recomandări de optimizare"",""Analiză ROAS / ROI pe canale"",""Identificarea campaniilor ineficiente""],""label"":""Audit campanii"",""note"":""4 analize pe lună, 1 pe săptămână"",""period"":""pe lună"",""price"":""€150""}],""subtitle"":""Preț transparent, fără plăți ascunse."",""title"":""Prețuri""}",,"{""blockType"":""pricing"",""order"":4}"
H8rzDM7imABUnWcWNHI6Ga,omnidashBlock,ru,ctaBottom,,,"{""ctaPrimary"":""Обсудить в Telegram"",""ctaSecondary"":""Написать на Email"",""subtitle"":""Подключим рекламу, продажи и расходы в одну систему — чтобы вы видели не просто оборот, а чистую картину бизнеса."",""title"":""Перестаньте смотреть на выручку вслепую""}",,,,,"{""ctaPrimary"":""Обсудить в Telegram"",""ctaSecondary"":""Написать на Email"",""subtitle"":""Подключим рекламу, продажи и расходы в одну систему — чтобы вы видели не просто оборот, а чистую картину бизнеса."",""title"":""Перестаньте смотреть на выручку вслепую""}",,"{""blockType"":""ctaBottom"",""order"":5}"
UhtN6rPJaY2J3E22gNawMK,omnidashBlock,ru,hero,,,"{""badge"":""Аналитика для e-commerce"",""ctaPrimary"":""Обсудить в Telegram"",""ctaSecondary"":""Смотреть демо"",""stats"":[{""label"":""до запуска"",""value"":""1–2 нед""},{""label"":""подписка"",""value"":""€49/мес""},{""label"":""настройка"",""value"":""€99""}],""subtitle"":""OmniDash собирает рекламу, продажи и расходы в один понятный дашборд — чтобы вы быстро видели, что работает, а что сжигает бюджет."",""title"":""Видите выручку. Но не видите прибыль.""}",,,,,"{""badge"":""Аналитика для e-commerce"",""ctaPrimary"":""Обсудить в Telegram"",""ctaSecondary"":""Смотреть демо"",""stats"":[{""label"":""до запуска"",""value"":""1–2 нед""},{""label"":""подписка"",""value"":""€49/мес""},{""label"":""настройка"",""value"":""€99""}],""subtitle"":""OmniDash собирает рекламу, продажи и расходы в один понятный дашборд — чтобы вы быстро видели, что работает, а что сжигает бюджет."",""title"":""Видите выручку. Но не видите прибыль.""}",,"{""blockType"":""hero"",""order"":0}"
UhtN6rPJaY2J3E22gNawVk,omnidashBlock,ru,features,,,"{""advanced"":[""Когортный анализ и повторные покупки"",""Анализ воронки и брошенных корзин"",""Алерты по проблемным зонам"",""BigQuery / DWH setup"",""Доработка под вашу бизнес-модель""],""advancedTitle"":""Дополнительно / по запросу"",""features"":[{""text"":""Looker Studio дашборд с ключевыми KPI: выручка, расходы на рекламу, ROAS / ROI, чистый результат, динамика по дням и каналам."",""title"":""Единый бизнес-дашборд""},{""text"":""Подключаем Meta Ads, Google Ads и другие кабинеты. Все расходы, клики и конверсии — в одном месте."",""title"":""Интеграция рекламных источников""},{""text"":""Shopify, WooCommerce, eMAG или другой согласованный источник продаж в рамках выбранного пакета."",""title"":""Интеграция магазина / платформы""},{""text"":""Учитываем не только выручку, но и себестоимость, доставку, комиссии, возвраты и налоги."",""title"":""Модель чистой прибыли""},{""text"":""Видите, какие кампании, объявления или группы товаров работают лучше всего — и где нужно остановить слив."",""title"":""Детализация до кампании""},{""text"":""В дашборде всегда видно, когда данные обновлялись в последний раз. Решения на основе свежей картины."",""title"":""Актуальность данных""}],""subtitle"":""Готовая система, а не просто красивый отчёт."",""title"":""Что входит в OmniDash""}",,,,,"{""advanced"":[""Когортный анализ и повторные покупки"",""Анализ воронки и брошенных корзин"",""Алерты по проблемным зонам"",""BigQuery / DWH setup"",""Доработка под вашу бизнес-модель""],""advancedTitle"":""Дополнительно / по запросу"",""features"":[{""text"":""Looker Studio дашборд с ключевыми KPI: выручка, расходы на рекламу, ROAS / ROI, чистый результат, динамика по дням и каналам."",""title"":""Единый бизнес-дашборд""},{""text"":""Подключаем Meta Ads, Google Ads и другие кабинеты. Все расходы, клики и конверсии — в одном месте."",""title"":""Интеграция рекламных источников""},{""text"":""Shopify, WooCommerce, eMAG или другой согласованный источник продаж в рамках выбранного пакета."",""title"":""Интеграция магазина / платформы""},{""text"":""Учитываем не только выручку, но и себестоимость, доставку, комиссии, возвраты и налоги."",""title"":""Модель чистой прибыли""},{""text"":""Видите, какие кампании, объявления или группы товаров работают лучше всего — и где нужно остановить слив."",""title"":""Детализация до кампании""},{""text"":""В дашборде всегда видно, когда данные обновлялись в последний раз. Решения на основе свежей картины."",""title"":""Актуальность данных""}],""subtitle"":""Готовая система, а не просто красивый отчёт."",""title"":""Что входит в OmniDash""}",,"{""blockType"":""features"",""order"":2}"
UhtN6rPJaY2J3E22gNaxgk,omnidashBlock,ua,hero,,,"{""badge"":""Аналітика для e-commerce"",""ctaPrimary"":""Обговорити в Telegram"",""ctaSecondary"":""Дивитись демо"",""stats"":[{""label"":""до запуску"",""value"":""1–2 тиж""},{""label"":""підписка"",""value"":""€49/міс""},{""label"":""налаштування"",""value"":""€99""}],""subtitle"":""OmniDash збирає рекламу, продажі та витрати в один зрозумілий дашборд — щоб ви швидко бачили, що працює, а що спалює бюджет."",""title"":""Бачите виручку. Але не бачите прибуток.""}",,,,,"{""badge"":""Аналітика для e-commerce"",""ctaPrimary"":""Обговорити в Telegram"",""ctaSecondary"":""Дивитись демо"",""stats"":[{""label"":""до запуску"",""value"":""1–2 тиж""},{""label"":""підписка"",""value"":""€49/міс""},{""label"":""налаштування"",""value"":""€99""}],""subtitle"":""OmniDash збирає рекламу, продажі та витрати в один зрозумілий дашборд — щоб ви швидко бачили, що працює, а що спалює бюджет."",""title"":""Бачите виручку. Але не бачите прибуток.""}",,"{""blockType"":""hero"",""order"":0}"
UhtN6rPJaY2J3E22gO8b5W,omnidashBlock,ru,painPoints,,,"{""pains"":[{""text"":""Деньги уходят в Meta и Google, но какие кампании реально окупаются — неизвестно."",""title"":""Реклама тратит, но непонятно что приносит""},{""text"":""Meta Ads, Google Ads, CRM и магазин показывают разное. Непонятно, кому верить."",""title"":""Разные кабинеты — разные цифры""},{""text"":""После комиссий, доставки, возвратов и себестоимости оказывается, что зарабатываете гораздо меньше."",""title"":""Выручка есть, прибыли нет""},{""text"":""Вместо управления бизнесом — перенос цифр из кабинетов в таблицы. Каждую неделю."",""title"":""Часы на ручную сборку отчётов""},{""text"":""Реклама ушла в минус неделю назад, а вы узнали только сейчас. Бюджет уже потрачен."",""title"":""Узнаёте о проблемах слишком поздно""},{""text"":""Продажи, реклама, расходы и прибыль — в разных системах. Целостной картины нет."",""title"":""Нет единой картины бизнеса""}],""subtitle"":""Типичные проблемы малого e-commerce, которые решает OmniDash."",""title"":""Узнаёте себя?""}",,,,,"{""pains"":[{""text"":""Деньги уходят в Meta и Google, но какие кампании реально окупаются — неизвестно."",""title"":""Реклама тратит, но непонятно что приносит""},{""text"":""Meta Ads, Google Ads, CRM и магазин показывают разное. Непонятно, кому верить."",""title"":""Разные кабинеты — разные цифры""},{""text"":""После комиссий, доставки, возвратов и себестоимости оказывается, что зарабатываете гораздо меньше."",""title"":""Выручка есть, прибыли нет""},{""text"":""Вместо управления бизнесом — перенос цифр из кабинетов в таблицы. Каждую неделю."",""title"":""Часы на ручную сборку отчётов""},{""text"":""Реклама ушла в минус неделю назад, а вы узнали только сейчас. Бюджет уже потрачен."",""title"":""Узнаёте о проблемах слишком поздно""},{""text"":""Продажи, реклама, расходы и прибыль — в разных системах. Целостной картины нет."",""title"":""Нет единой картины бизнеса""}],""subtitle"":""Типичные проблемы малого e-commerce, которые решает OmniDash."",""title"":""Узнаёте себя?""}",,"{""blockType"":""painPoints"",""order"":1}"
